Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2020-06-22,17.418
 2020-06-19,17.411
 2020-06-18,17.233
 2020-06-17,17.1313
 2020-06-15,17.2408
 2020-06-12,17.0858
 2020-06-11,16.6296
 2020-06-10,16.5799
 2020-06-09,16.882
 2020-06-08,16.7474
 2020-06-05,16.8481
 2020-06-04,17.0257
 2020-06-03,17.0333
 2020-06-02,17.3131
 2020-06-01,17.4901
 2020-05-29,17.5479
 2020-05-28,17.4648
 2020-05-27,17.4744
 2020-05-26,17.4267
 2020-05-25,17.6405
 2020-05-22,17.8171
 2020-05-21,17.9426
 2020-05-20,18.1355
 2020-05-19,18.2914
 2020-05-18,18.481
 2020-05-15,18.5111
 2020-05-14,18.573
 2020-05-13,18.4124
 2020-05-12,18.4294
 2020-05-11,18.3212
 2020-05-08,18.4869
 2020-05-07,18.5817
 2020-05-06,18.4852
 2020-05-05,18.28
 2020-05-04,18.7516
 2020-04-30,18.0589
 2020-04-29,18.4869
 2020-04-28,18.6678
 2020-04-24,19.0722
 2020-04-23,19.0243
 2020-04-22,18.8829
 2020-04-21,19.0549
 2020-04-20,18.9305
 2020-04-17,18.8159
 2020-04-16,18.5972
 2020-04-15,18.6243
 2020-04-14,18.0303
 2020-04-09,18.0868
 2020-04-08,18.4033
 2020-04-07,18.3207
 2020-04-06,19.0768
 2020-04-03,18.7096
 2020-04-02,18.2113
 2020-04-01,18.0283
 2020-03-31,17.9822
 2020-03-30,17.8226
 2020-03-27,17.5046
 2020-03-26,17.4915
 2020-03-25,17.3437
 2020-03-24,17.7233
 2020-03-23,17.8108
 2020-03-20,17.1939
 2020-03-19,17.3757
 2020-03-18,16.7717
 2020-03-17,16.5498
 2020-03-16,16.6289
 2020-03-13,16.3201
 2020-03-12,16.4264
 2020-03-11,16.0714
 2020-03-10,15.9082
 2020-03-09,16.1815
 2020-03-06,15.5874
 2020-03-05,15.3336
 2020-03-04,15.3659
 2020-03-03,15.5337
 2020-03-02,15.5255
 2020-02-28,15.6171
 2020-02-27,15.2974
 2020-02-26,15.2421
 2020-02-25,15.0972
 2020-02-24,15.1622
 2020-02-21,15.1746
 2020-02-20,15.1279
 2020-02-19,14.953
 2020-02-18,15.043
 2020-02-17,14.8726
 2020-02-14,14.8601
 2020-02-13,14.9328
 2020-02-12,14.7639
 2020-02-11,14.894
 2020-02-10,15.0239
 2020-02-07,14.9915
 2020-02-06,14.7652
 2020-02-05,14.7974
 2020-02-04,14.7731
 2020-02-03,14.9742
 2020-01-31,14.8455
 2020-01-30,14.6841
 2020-01-29,14.5661
 2020-01-28,14.6031
 2020-01-27,14.5207
 2020-01-24,14.3595
 2020-01-23,14.3017
 2020-01-22,14.4858
 2020-01-21,14.569
 2020-01-20,14.5289
 2020-01-17,14.3698
 2020-01-16,14.3822
 2020-01-15,14.4073
 2020-01-14,14.4688
 2020-01-13,14.3475
 2020-01-10,14.2363
 2020-01-09,14.1313
 2020-01-08,14.2698
 2020-01-07,14.1799
 2020-01-06,14.3193
 2020-01-03,14.2243
 2020-01-02,13.9923
 2019-12-31,14.0418
 2019-12-30,13.9709
 2019-12-27,14.1058
 2019-12-24,14.2009
 2019-12-23,14.2591
 2019-12-20,14.2105
 2019-12-19,14.3126
 2019-12-18,14.4242
 2019-12-17,14.484
 2019-12-13,14.5008
 2019-12-12,14.6747
 2019-12-11,14.7509
 2019-12-10,14.6624
 2019-12-09,14.6524
 2019-12-06,14.6419
 2019-12-05,14.5918
